report_date,city,tavg,tmin,tmax,prcp,rhum,wspd
2023-03-22,Limerick,8.2,6.4,11.1,10.9,,26.9
2023-03-23,Cork,8.0,5.5,11.2,12.1,,33.6
2023-03-23,Dublin,8.8,6.4,14.1,2.1,,24.6
2023-03-23,Limerick,8.6,6.2,12.6,7.1,,26.4
2023-03-24,Cork,7.9,5.7,10.6,0.9,,33.9
2023-03-24,Dublin,8.9,6.6,13.5,0.8,,26.8
2023-03-24,Limerick,8.6,6.7,11.5,6.1,,33.0
2023-03-25,Cork,8.0,5.2,11.5,9.8,,22.4
2023-03-25,Dublin,8.4,6.3,12.8,0.9,,19.3
2023-03-25,Limerick,10.1,7.8,13.8,2.0,,18.2
2023-03-26,Cork,8.3,6.0,11.7,1.0,,21.1
2023-03-26,Dublin,6.8,5.7,10.1,0.3,,16.0
2023-03-26,Limerick,8.6,5.6,12.7,0.0,,11.0
2023-03-27,Cork,8.0,6.5,10.0,1.4,,19.5
2023-03-27,Dublin,4.0,-1.6,10.7,1.3,,14.1
2023-03-27,Limerick,8.5,3.7,12.9,0.0,,17.6
2023-03-28,Cork,9.9,7.0,13.0,12.8,,25.8
2023-03-28,Dublin,10.5,5.9,15.7,0.8,,15.2
2023-03-28,Limerick,11.4,7.8,15.5,4.6,,21.0
2023-03-29,Cork,10.6,8.5,12.5,13.1,,27.9
2023-03-29,Dublin,11.9,10.7,17.1,6.1,,20.1
2023-03-29,Limerick,12.2,10.3,15.5,1.0,,24.0
2023-03-30,Cork,10.0,9.0,12.4,9.5,,28.2
2023-03-30,Dublin,11.0,7.9,16.7,5.5,,17.0
2023-03-30,Limerick,11.0,7.9,15.3,1.8,,19.5
2023-03-31,Cork,9.8,7.2,12.2,5.9,,25.2
2023-03-31,Dublin,9.6,8.9,12.0,24.8,,16.5
2023-03-31,Limerick,9.9,9.0,11.9,6.1,,20.1
2023-04-01,Cork,8.6,6.0,11.7,0.0,,26.0
2023-04-01,Dublin,8.9,8.5,12.1,2.7,,16.0
2023-04-01,Limerick,9.7,6.2,12.0,0.5,,19.4
2023-04-02,Cork,7.0,3.6,10.7,0.1,,16.0
2023-04-02,Dublin,8.1,6.7,12.1,0.0,,14.1
2023-04-02,Limerick,7.7,1.5,13.4,0.3,,11.8
2023-04-03,Cork,8.2,6.2,10.0,1.3,,24.8
2023-04-03,Dublin,8.0,4.4,12.5,0.1,,16.0
2023-04-03,Limerick,9.7,7.3,11.9,0.0,,22.7
2023-04-04,Cork,8.6,7.5,10.5,2.5,,20.6
2023-04-04,Dublin,9.2,4.5,14.4,2.1,,13.6
2023-04-04,Limerick,10.1,8.1,13.5,4.1,,22.2
2023-04-05,Cork,10.8,9.0,14.1,4.3,,18.2
2023-04-05,Dublin,11.6,9.4,15.2,1.1,,14.6
2023-04-05,Limerick,11.1,9.0,13.0,5.1,,15.3
2023-04-06,Cork,8.8,5.5,12.6,0.0,,14.2
2023-04-06,Dublin,8.4,6.8,14.0,0.0,,17.1
2023-04-06,Limerick,8.8,5.6,12.3,3.0,,12.2
2023-04-07,Cork,7.5,3.5,10.7,0.0,,17.1
2023-04-07,Dublin,7.2,1.4,14.0,0.0,,12.5
2023-04-07,Limerick,8.9,4.6,13.8,0.0,,18.8
2023-04-08,Cork,9.1,7.0,11.2,0.2,,24.9
2023-04-08,Dublin,9.3,3.7,15.0,0.0,,15.4
2023-04-08,Limerick,10.8,7.8,13.5,0.0,,21.4
2023-04-09,Cork,9.7,8.5,11.2,4.7,,27.8
2023-04-09,Dublin,10.4,8.8,13.2,3.3,,24.0
2023-04-09,Limerick,11.2,9.1,14.0,1.0,,26.2
2023-04-10,Cork,7.9,5.2,10.5,4.5,,24.3
2023-04-10,Dublin,8.1,7.3,11.4,1.3,,20.8
2023-04-10,Limerick,8.8,6.8,11.4,6.1,,24.6
2023-04-11,Cork,6.1,2.0,9.0,12.5,,24.2
2023-04-11,Dublin,6.4,4.7,10.8,7.2,,19.8
2023-04-11,Limerick,6.9,4.7,10.2,12.7,,22.6
2023-04-12,Cork,5.5,2.0,9.5,6.0,,40.6
2023-04-12,Dublin,4.9,2.4,8.8,4.5,,27.8
2023-04-12,Limerick,6.4,2.9,10.2,9.9,,35.6
2023-04-13,Cork,6.4,2.5,10.6,0.8,,14.0
2023-04-13,Dublin,6.9,3.2,13.3,0.0,,23.7
2023-04-13,Limerick,7.8,4.1,11.4,0.8,,14.7
2023-04-14,Cork,8.1,5.1,12.5,2.5,,17.8
2023-04-14,Dublin,6.4,1.1,13.9,0.0,,13.6
2023-04-14,Limerick,7.8,2.4,12.6,0.0,,14.2
2023-04-15,Cork,7.8,4.0,9.7,0.8,,14.4
2023-04-15,Dublin,7.8,2.3,13.8,6.0,,12.8
2023-04-15,Limerick,8.3,3.7,11.2,0.3,,17.6
2023-04-16,Cork,10.8,10.0,12.1,1.2,,12.6
2023-04-16,Dublin,11.6,8.0,18.9,0.0,,8.4
2023-04-16,Limerick,14.3,10.0,19.6,0.0,,15.9
2023-04-17,Cork,10.2,9.0,12.5,0.3,,17.8
2023-04-17,Dublin,10.9,7.9,17.9,0.0,,12.1
2023-04-17,Limerick,12.4,9.3,14.7,0.0,,17.2
2023-04-18,Cork,10.0,8.1,12.5,0.0,,20.1
2023-04-18,Dublin,10.1,9.6,12.5,0.0,,17.8
2023-04-18,Limerick,12.6,7.7,18.1,0.0,,14.4
2023-04-19,Cork,9.0,6.0,11.5,1.2,,23.0
2023-04-19,Dublin,9.3,7.7,12.2,0.0,,30.8
2023-04-19,Limerick,10.3,4.8,15.0,0.0,,17.1
2023-04-20,Cork,9.1,6.5,10.7,3.5,,28.6
2023-04-20,Dublin,9.3,7.1,12.8,0.0,,29.0
2023-04-20,Limerick,11.8,7.4,15.8,0.0,,19.7
2023-04-21,Cork,7.7,6.1,10.1,0.4,,18.8
2023-04-21,Dublin,9.7,8.2,15.2,0.0,,28.8
2023-04-21,Limerick,10.1,4.2,15.5,0.0,,17.1
2023-04-22,Cork,7.6,4.5,11.2,3.6,,10.4
2023-04-22,Dublin,7.6,8.4,9.8,8.8,,12.8
2023-04-22,Limerick,8.0,6.2,9.6,8.1,,8.5
2023-04-23,Cork,8.9,5.9,13.2,0.5,,18.2
2023-04-23,Dublin,7.7,5.0,12.6,10.3,,9.8
2023-04-23,Limerick,9.6,6.7,13.7,0.5,,11.7
2023-04-24,Cork,7.1,5.2,8.7,0.0,,18.0
2023-04-24,Dublin,5.8,5.7,9.1,0.9,,15.0
2023-04-24,Limerick,7.8,4.6,11.3,0.5,,16.2
2023-04-25,Cork,6.5,2.5,9.7,1.8,,20.3
2023-04-25,Dublin,6.1,0.5,11.6,0.0,,12.2
2023-04-25,Limerick,6.8,-0.2,12.0,0.0,,12.2
2023-04-26,Cork,8.0,6.0,9.2,0.0,,18.9
2023-04-26,Dublin,9.1,5.7,13.4,0.0,,12.8
2023-04-26,Limerick,10.4,7.6,13.3,0.0,,18.4
2023-04-27,Cork,9.9,8.7,11.7,6.7,,15.9
2023-04-27,Dublin,9.8,9.0,12.9,0.4,,15.8
2023-04-27,Limerick,11.8,9.3,14.8,0.0,,15.4
2023-04-28,Cork,12.0,9.0,15.2,1.0,,11.1
2023-04-28,Dublin,12.1,9.9,17.3,1.3,,8.8
2023-04-28,Limerick,13.4,10.9,17.5,2.3,,10.2
2023-04-29,Cork,11.2,10.5,12.0,1.3,,11.0
2023-04-29,Dublin,12.8,6.9,18.3,9.4,,8.4
2023-04-29,Limerick,14.1,12.0,17.5,1.8,,13.8
2023-04-30,Cork,13.1,10.3,17.5,0.3,,15.0
2023-04-30,Dublin,12.7,11.0,18.1,9.3,,14.6
2023-04-30,Limerick,12.7,10.4,15.5,1.5,,17.8
2023-05-01,Cork,11.6,8.5,15.2,0.0,,12.2
2023-05-01,Dublin,12.2,10.4,17.9,0.1,,14.4
2023-05-01,Limerick,12.3,10.6,15.6,0.0,,10.6
2023-05-02,Cork,10.4,7.7,13.5,0.1,,14.8
2023-05-02,Dublin,11.9,7.5,18.5,0.0,,14.4
2023-05-02,Limerick,12.9,9.4,16.3,0.0,,15.9
2023-05-03,Cork,11.7,10.1,13.7,0.0,,26.2
2023-05-03,Dublin,11.7,10.0,16.6,0.0,,15.5
2023-05-03,Limerick,13.9,11.0,16.9,0.0,,19.7
2023-05-04,Cork,10.0,9.5,11.2,16.9,,23.5
2023-05-04,Dublin,10.6,9.5,15.8,6.3,,22.3
2023-05-04,Limerick,12.4,10.9,14.5,4.1,,17.7
2023-05-05,Cork,11.8,9.6,14.7,4.6,,17.1
2023-05-05,Dublin,13.6,10.9,19.7,0.0,,15.6
2023-05-05,Limerick,13.0,10.2,15.9,26.9,,13.2
2023-05-06,Cork,12.6,10.0,15.6,0.6,,14.1
