report_date,hospital,region,lag7_used,pred_hosp
2025-11-11,Mayo University Hospital,HSE West & North West,16.0,9.47149327134547
2025-11-11,Mercy University Hospital,HSE South & South East,9.0,0.4055204661493068
2025-11-11,Naas General Hospital,Dublin Midlands,9.0,5.380932839299529
2025-11-11,National Orthopaedic Hospital Cappagh,HSE Dublin & North East,0.0,0.19001632751847808
2025-11-11,Nenagh Hospital,HSE West & North West,0.0,1.4941433456012545
2025-11-11,Our Lady of Lourdes Hospital,HSE Dublin & North East,0.0,0.0
2025-11-11,Our Lady's Hospital Navan,HSE Dublin & North East,0.0,0.0
2025-11-11,Portiuncula University Hospital,HSE West & North West,7.0,5.253176656288809
2025-11-11,Roscommon University Hospital,HSE West & North West,0.0,0.282374283060399
2025-11-11,Sligo University Hospital,HSE West & North West,4.0,0.0
2025-11-11,South Infirmary Victoria University Hospital,HSE South & South East,0.0,0.0
2025-11-11,St Luke's General Hospital Kilkenny,HSE South & South East,24.0,21.216075431802523
2025-11-11,St. Columcille's Hospital,HSE Dublin & North East,0.0,0.0
2025-11-11,St. James's Hospital,HSE Dublin & Midlands,11.0,1.9657760071935986
2025-11-11,St. John's Hospital Limerick,HSE West & North West,0.0,1.5364341885720174
2025-11-11,St. Luke's Radiation Oncology Network,HSE Dublin & North East,0.0,0.013423639221295858
2025-11-11,St. Michael's Hospital,HSE Dublin & North East,0.0,0.0
2025-11-11,St. Vincent's University Hospital,HSE Dublin & North East,42.0,29.04170515883438
2025-11-11,Tallaght University Hospital,HSE Dublin & Midlands,2.0,0.0
2025-11-11,Tipperary University Hospital,HSE South & South East,8.0,4.368788429796116
2025-11-11,UH Kerry,HSE South & South East,23.0,14.303990149447904
2025-11-11,UH Limerick,HSE West & North West,27.0,4.465932287521603
2025-11-11,UH Waterford,HSE South & South East,0.0,0.08726574113422014
2025-11-11,Wexford General Hospital,HSE South & South East,14.0,10.473600065767467
2025-11-12,CHI at Tallaght,Dublin Midlands,0.0,1.5057107120870636
2025-11-12,CHI at Temple Street,HSE Dublin & North East,0.0,0.0
2025-11-12,Cavan General Hospital,HSE Dublin & North East,15.0,11.950723977939383
2025-11-12,Connolly Hospital,Dublin North East,3.0,4.54229183511939
2025-11-12,Cork University Hospital,South / South-West,32.0,17.556454419748313
2025-11-12,Letterkenny University Hospital,West / North-West,12.0,5.636997085097272
2025-11-12,Louth County Hospital,HSE Dublin & North East,0.0,0.1430003219460172
2025-11-12,MRH Mullingar,HSE Dublin & Midlands,22.0,19.215695273159167
